iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GIN,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,3180424,tonnes,annual,2023-10-03 21:10:31.564494,2023-11-02 13:53:00.017128
GIN,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,3180424,tonnes,annual,2023-10-03 21:10:31.564529,2023-11-02 13:53:00.017128
GIN,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,3180424,tonnes,annual,2023-10-03 21:10:31.564536,2023-11-02 13:53:00.017128
GIN,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,3927300,tonnes,annual,2023-10-03 21:10:31.565205,2023-11-02 13:53:00.017128
GIN,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,3927300,tonnes,annual,2023-10-03 21:10:31.565236,2023-11-02 13:53:00.017128
GIN,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,3927300,tonnes,annual,2023-10-03 21:10:31.565244,2023-11-02 13:53:00.017128
GIN,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,4616300,tonnes,annual,2023-10-03 21:10:31.565794,2023-11-02 13:53:00.017128
GIN,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,4616300,tonnes,annual,2023-10-03 21:10:31.565828,2023-11-02 13:53:00.017128
GIN,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,4616300,tonnes,annual,2023-10-03 21:10:31.565836,2023-11-02 13:53:00.017128
GIN,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2,1908511,tonnes,annual,2023-10-03 21:10:31.56702,2023-11-02 13:53:00.017128
GIN,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_100yr,1908511,tonnes,annual,2023-10-03 21:10:31.567056,2023-11-02 13:53:00.017128
GIN,2021-01-01 00:00:00,2021-12-31 00:00:00,bauxite-mining,co2e_20yr,1908511,tonnes,annual,2023-10-03 21:10:31.567065,2023-11-02 13:53:00.017128
GRC,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,90501,tonnes,annual,2023-10-03 21:10:31.587776,2023-11-02 13:53:00.017128
GRC,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,90501,tonnes,annual,2023-10-03 21:10:31.587806,2023-11-02 13:53:00.017128
GRC,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,90501,tonnes,annual,2023-10-03 21:10:31.587814,2023-11-02 13:53:00.017128
GRC,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,92872,tonnes,annual,2023-10-03 21:10:31.588333,2023-11-02 13:53:00.017128
GRC,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,92872,tonnes,annual,2023-10-03 21:10:31.588364,2023-11-02 13:53:00.017128
GRC,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,92872,tonnes,annual,2023-10-03 21:10:31.588372,2023-11-02 13:53:00.017128
GRC,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,95194,tonnes,annual,2023-10-03 21:10:31.588971,2023-11-02 13:53:00.017128
GRC,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,95194,tonnes,annual,2023-10-03 21:10:31.589002,2023-11-02 13:53:00.017128
GRC,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,95194,tonnes,annual,2023-10-03 21:10:31.589009,2023-11-02 13:53:00.017128
GRC,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,79386,tonnes,annual,2023-10-03 21:10:31.589515,2023-11-02 13:53:00.017128
GRC,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,79386,tonnes,annual,2023-10-03 21:10:31.589545,2023-11-02 13:53:00.017128
GRC,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,79386,tonnes,annual,2023-10-03 21:10:31.589553,2023-11-02 13:53:00.017128
GRC,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,73705,tonnes,annual,2023-10-03 21:10:31.590064,2023-11-02 13:53:00.017128
GRC,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,73705,tonnes,annual,2023-10-03 21:10:31.590094,2023-11-02 13:53:00.017128
GRC,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,73705,tonnes,annual,2023-10-03 21:10:31.590102,2023-11-02 13:53:00.017128
GRC,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2,74100,tonnes,annual,2023-10-03 21:10:31.590697,2023-11-02 13:53:00.017128
