"ISO3","Annee","Emission annuelle","Somme des emissions","percentage"
"VUT",2022,207909,0,0
"VEN",2015,165853100,354142,0.21352751320294888
"VEN",2016,152385310,357383,0.234525887042524
"VEN",2017,138226900,131599,0.09520505777095485
"VEN",2018,100734470,64348,0.06387882916344326
"VEN",2019,87611624,28520,0.03255275806781072
"VEN",2020,61956236,32779,0.05290670014233918
"VEN",2021,71613200,24,0.00003351337462925829
"VEN",2022,76892000,24,0.00003121260989439734
"VNM",2015,215461950,647715,0.3006168838627888
"VNM",2016,223203940,715968,0.32076853123650056
"VNM",2017,229642500,778420,0.3389703560969768
"VNM",2018,257722290,865232,0.33572261056659086
"VNM",2019,341788800,884439,0.2587676951380502
"VNM",2020,363342660,1159475,0.31911336808069823
"VNM",2021,352553020,866347,0.2457352372133984
"VNM",2022,343606620,878020,0.2555305832000559
"WLF",2015,21984,0,0
"WLF",2016,25648,0,0
"WLF",2017,25648,0,0
"WLF",2018,25648,0,0
"WLF",2019,25648,0,0
"WLF",2020,25648,0,0
"WLF",2021,26763,0,0
"WLF",2022,26461,0,0
"YEM",2015,14083540,4,0.000028401950077892347
"YEM",2016,10007327,4,0.00003997071345824914
"YEM",2017,9694605,3,0.000030945046239635347
"YEM",2018,11591975,3,0.000025879972998561503
"YEM",2019,11837194,3,0.000025343844157661014
"YEM",2020,10883986,3,0.00002756343126497958
"YEM",2021,11587916,2,0.000017259358801013056
"YEM",2022,11356347,2,0.000017611297013027164
"ZMB",2015,5064975,185073,3.6539765744154713
"ZMB",2016,5864282,196812,3.356114184140531
"ZMB",2017,6850203,204892,2.9910354481465733
"ZMB",2018,7419369,220369,2.970185200385639
"ZMB",2019,7750827,205740,2.65442642443187
"ZMB",2020,8144346,3853621,47.31651872354146
"ZMB",2021,8663157,3344124,38.60167834889752
"ZMB",2022,8921889,3134802,35.13607936615217
"ZWE",2015,12254954,132777,1.083455719213634
"ZWE",2016,10533453,147043,1.3959619889128476
"ZWE",2017,9295629,142810,1.536313465178096
"ZWE",2018,10714598,146655,1.3687401057883832
"ZWE",2019,9775428,147027,1.504046677035522
"ZWE",2020,7849639,266920,3.4004111526657472
"ZWE",2021,8396158,287003,3.418265830633487
"ZWE",2022,8855981,332474,3.754231180035278
